Vals,Runtime
"[8, 8, 1, 0, 0, 2, 0, 0, 0.25]",2.701507091522217
"[8, 8, 1, 0.2, 0, 2, 0, 0, 0.25]",-1.0
"[8, 8, 1, 0.4, 0, 2, 0, 0, 0.25]",-1.0
"[8, 8, 1, 0.6, 0, 2, 0, 0, 0.25]",-1.0
"[8, 8, 1, 0.8, 0, 2, 0, 0, 0.25]",-1.0
"[8, 8, 1, 1, 0, 2, 0, 0, 0.25]",-1.0
"[8, 8, 1, 1.2, 0, 2, 0, 0, 0.25]",-1.0
