Vals,Runtime
"[8, 8, 1, 0.0, 0, 3, 1.2, 0, 0.25]",2.9014410972595215
"[8, 8, 1, 0.02, 0, 3, 1.3, 0, 0.25]",1.70123291015625
"[8, 8, 1, 0.04, 0, 3, 1.4, 0, 0.25]",1.4015488624572754
"[8, 8, 1, 0.06, 0, 3, 1.5, 0, 0.25]",1.3007018566131592
"[8, 8, 1, 0.08, 0, 3, 1.6, 0, 0.25]",1.100724458694458
"[8, 8, 1, 0.1, 0, 3, 1.7, 0, 0.25]",1.1010055541992188
"[8, 8, 1, 0.12, 0, 3, 1.8, 0, 0.25]",1.0015552043914795
