Vals,Runtime
"[8, 8, 10, 0.04, 0.1, 15, 1.2, 0, 0.25]",0.2026979923248291
"[8, 8, 10, 0.04, 0.2, 15, 1.2, 0, 0.25]",0.4011726379394531
"[8, 8, 10, 0.04, 0.3, 15, 1.2, 0, 0.25]",0.20099449157714844
"[8, 8, 10, 0.04, 0.4, 15, 1.2, 0, 0.25]",0.20134711265563965
"[8, 8, 10, 0.04, 0.5, 15, 1.2, 0, 0.25]",0.20125412940979004
"[8, 8, 10, 0.04, 0.6, 15, 1.2, 0, 0.25]",0.20101523399353027
"[8, 8, 10, 0.04, 0.7, 15, 1.2, 0, 0.25]",0.20106792449951172
